City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
41,chokurdakh,70.6333,147.9167,-39.19,100,99,1.74,RU,1675813863
42,bac lieu,9.285,105.7244,24.53,88,54,4.04,VN,1675813911
43,punta arenas,-53.15,-70.9167,16.06,63,40,4.63,CL,1675813911
44,bambous virieux,-20.3428,57.7575,26.14,83,75,7.2,MU,1675813912
45,balabac,7.9868,117.0645,26.25,84,100,5.45,PH,1675813732
46,alofi,-19.0595,-169.9187,25.94,94,100,3.6,NU,1675813912
47,kavaratti,10.5669,72.642,26.5,72,97,5.1,IN,1675813685
48,bluff,-46.6,168.3333,11.56,66,73,11.35,NZ,1675813678
49,lata,40.1629,-8.3327,6.07,77,12,1.7,PT,1675813913
50,castro,-24.7911,-50.0119,17.53,93,13,2.17,BR,1675813729
51,dingle,10.9995,122.6711,25.11,85,98,4.36,PH,1675813913
52,kananga,-5.8958,22.4178,20.73,90,99,1.04,CD,1675813914
53,avera,33.194,-82.5271,14.95,55,93,1.58,US,1675813914
54,oytal,42.9057,73.2697,-0.8,67,98,1.89,KZ,1675813914
55,sooko,-7.9097,111.6599,21.78,95,100,1.1,ID,1675813915
56,yellowknife,62.456,-114.3525,-18.58,78,75,3.09,CA,1675813495
57,esperance,-33.8667,121.9,20.86,65,100,4.71,AU,1675813701
58,ahmadabad,23.0333,72.6167,16.02,63,0,2.06,IN,1675813619
59,kaitangata,-46.2817,169.8464,14.63,51,67,6.92,NZ,1675813915
60,dordrecht,51.81,4.6736,1.09,88,18,2.07,NL,1675813760
61,hervey bay,-25.2986,152.8535,26.29,59,68,9.08,AU,1675813916
62,sugal,5.6622,125.4617,26.54,73,98,1.59,PH,1675813916
63,jamestown,42.097,-79.2353,9.77,73,40,4.63,US,1675813916
64,sorkjosen,69.8,20.9333,4.0,45,90,7.72,NO,1675813917
65,kapaa,22.0752,-159.319,27.18,84,100,5.66,US,1675813917
66,senador pompeu,-5.5881,-39.3717,25.18,44,64,1.66,BR,1675813918
67,kapit,2.0167,112.9333,23.28,97,96,0.52,MY,1675813918
68,oyan,8.05,4.7667,24.36,77,99,2.32,NG,1675813918
69,sur,22.5667,59.5289,22.49,57,33,3.97,OM,1675813803
70,tromso,69.6496,18.957,3.01,60,100,8.75,NO,1675813742
71,sola,-13.8833,167.55,27.91,76,100,6.62,VU,1675813921
72,souillac,-20.5167,57.5167,26.21,83,75,7.2,MU,1675813922
73,katsuura,35.1333,140.3,10.56,75,98,7.7,JP,1675813729
74,caravelas,-17.7125,-39.2481,25.47,82,2,3.84,BR,1675813762
75,petropavlovsk-kamchatskiy,53.0452,158.6483,-14.67,61,20,2.0,RU,1675813925
76,inhambane,-23.865,35.3833,25.42,88,2,3.8,MZ,1675813925
77,bethel,41.3712,-73.414,2.64,71,75,2.06,US,1675813926
78,ambovombe,-25.1667,46.0833,22.29,91,99,2.09,MG,1675813928
